CompanyName,LineOfBusiness,Currency,Year,LossIncurredRatio,DevelopmentMonth
Howden,MA-np,EUR,2020,,120.0
Howden,MA-np,EUR,2020,,132.0
Howden,MA-np,EUR,2020,,144.0
Howden,MA-np,EUR,2020,,
Howden,MA-np,EUR,2021,21.456272277771117,12.0
Howden,MA-np,EUR,2021,,24.0
Howden,MA-np,EUR,2021,,36.0
Howden,MA-np,EUR,2021,,48.0
Howden,MA-np,EUR,2021,,60.0
Howden,MA-np,EUR,2021,,72.0
Howden,MA-np,EUR,2021,,84.0
Howden,MA-np,EUR,2021,,96.0
Howden,MA-np,EUR,2021,,108.0
Howden,MA-np,EUR,2021,,120.0
Howden,MA-np,EUR,2021,,132.0
Howden,MA-np,EUR,2021,,144.0
Howden,MA-np,EUR,2021,,
Howden,MA-np,EUR,2022,,12.0
Howden,MA-np,EUR,2022,,24.0
Howden,MA-np,EUR,2022,,36.0
Howden,MA-np,EUR,2022,,48.0
Howden,MA-np,EUR,2022,,60.0
Howden,MA-np,EUR,2022,,72.0
Howden,MA-np,EUR,2022,,84.0
Howden,MA-np,EUR,2022,,96.0
Howden,MA-np,EUR,2022,,108.0
Howden,MA-np,EUR,2022,,120.0
Howden,MA-np,EUR,2022,,132.0
Howden,MA-np,EUR,2022,,144.0
Howden,MA-np,EUR,2022,,
